alph1,alph2,alph3,alph4,bp,weight
1,0,1.732050808,1,0,0.041666667
1,0,2.334414218,0,0,0.022937927
1,0.741963784,0,0,0,0.227062073
1,1,-1.732050808,0,0,0.041666667
1,1,-1,-1,0,0.0625
1,1,-1,0,-1,0.0625
1,1,-1,0,0,-0.5
1,1,-1,0,1,0.0625
1,1,-1,1,0,0.0625
1,1,0,-1.732050808,0,0.041666667
1,1,0,-1,-1,0.0625
1,1,0,-1,0,-0.5
1,1,0,-1,1,0.0625
1,1,0,0,-1.732050808,0.041666667
1,1,0,0,-1,-0.5
1,1,0,0,0,2
1,1,0,0,1,-0.5
1,1,0,0,1.732050808,0.041666667
1,1,0,1,-1,0.0625
1,1,0,1,0,-0.5
1,1,0,1,1,0.0625
1,1,0,1.732050808,0,0.041666667
1,1,1,-1,0,0.0625
1,1,1,0,-1,0.0625
1,1,1,0,0,-0.5
1,1,1,0,1,0.0625
1,1,1,1,0,0.0625
1,1,1.732050808,0,0,0.041666667
1,1.732050808,-1,0,0,0.041666667
1,1.732050808,0,-1,0,0.041666667
1,1.732050808,0,0,-1,0.041666667
1,1.732050808,0,0,0,-0.333333333
1,1.732050808,0,0,1,0.041666667
1,1.732050808,0,1,0,0.041666667
1,1.732050808,1,0,0,0.041666667
1,2.334414218,0,0,0,0.022937927
1.35562618,0,0,0,0,0.222075922
1.732050808,-1.732050808,0,0,0,0.027777778
1.732050808,-1,-1,0,0,0.041666667
1.732050808,-1,0,-1,0,0.041666667
1.732050808,-1,0,0,-1,0.041666667
1.732050808,-1,0,0,0,-0.333333333
1.732050808,-1,0,0,1,0.041666667
1.732050808,-1,0,1,0,0.041666667
1.732050808,-1,1,0,0,0.041666667
1.732050808,0,-1.732050808,0,0,0.027777778
1.732050808,0,-1,-1,0,0.041666667
1.732050808,0,-1,0,-1,0.041666667
1.732050808,0,-1,0,0,-0.333333333
1.732050808,0,-1,0,1,0.041666667
1.732050808,0,-1,1,0,0.041666667
1.732050808,0,0,-1.732050808,0,0.027777778
1.732050808,0,0,-1,-1,0.041666667
1.732050808,0,0,-1,0,-0.333333333
1.732050808,0,0,-1,1,0.041666667
1.732050808,0,0,0,-1.732050808,0.027777778
1.732050808,0,0,0,-1,-0.333333333
1.732050808,0,0,0,0,1.444444444
1.732050808,0,0,0,1,-0.333333333
1.732050808,0,0,0,1.732050808,0.027777778
1.732050808,0,0,1,-1,0.041666667
1.732050808,0,0,1,0,-0.333333333
1.732050808,0,0,1,1,0.041666667
1.732050808,0,0,1.732050808,0,0.027777778
1.732050808,0,1,-1,0,0.041666667
1.732050808,0,1,0,-1,0.041666667
1.732050808,0,1,0,0,-0.333333333
1.732050808,0,1,0,1,0.041666667
1.732050808,0,1,1,0,0.041666667
1.732050808,0,1.732050808,0,0,0.027777778
1.732050808,1,-1,0,0,0.041666667
1.732050808,1,0,-1,0,0.041666667
1.732050808,1,0,0,-1,0.041666667
1.732050808,1,0,0,0,-0.333333333
1.732050808,1,0,0,1,0.041666667
1.732050808,1,0,1,0,0.041666667
1.732050808,1,1,0,0,0.041666667
1.732050808,1.732050808,0,0,0,0.027777778
2.334414218,-1,0,0,0,0.022937927
2.334414218,0,-1,0,0,0.022937927
2.334414218,0,0,-1,0,0.022937927
2.334414218,0,0,0,-1,0.022937927
2.334414218,0,0,0,0,-0.183503419
2.334414218,0,0,0,1,0.022937927
2.334414218,0,0,1,0,0.022937927
2.334414218,0,1,0,0,0.022937927
2.334414218,1,0,0,0,0.022937927
2.856970014,0,0,0,0,0.011257411
